COMMUNE;nomcom;CODE_REG;dist;long;lat;superficie;LIBEPCI;libuu2020;DEP;REG;emp;actifs;PTOT
72121;Douillet;52;161,3379803;-0,050423688;48,27626684;19,0794451;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;15,01224229;130;332
72122;Duneau;52;181,618083;0,534877385;48,06746325;12,63223327;CC du Pays de l'Huisne Sarthoise;Connerré;Sarthe;Pays de la Loire;80,02150831;515,9894332;1062
72123;Dureil;52;125,2810431;-0,134234872;47,82986017;7,502541559;CC de Sablé-sur-Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;10,14084507;20,28169014;72
72124;Écommoy;52;152,6304045;0,284900909;47,82496671;29,57604276;CC Orée de Bercé - Belinois;Écommoy;Sarthe;Pays de la Loire;1426,939621;1906,110535;4816
72125;Écorpain;52;181,7520355;0,637304782;47,93783929;20,76700933;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;61,19307078;154,4798658;307
72126;Épineu-le-Chevreuil;52;139,0935995;-0,132212414;48,04052853;14,71527568;CC Loué - Brûlon - Noyen;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;25;135;301
72127;Étival-lès-le-Mans;52;146,5488348;0,077215882;47,96345466;10,26546613;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;135,7846087;829,228179;1993
72128;Val-d'Étangson;52;178,4137873;0,620504782;47,8894837;31,43935385;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;70,17685197;225;529
72129;Fatines;52;167,6576909;0,334777159;48,04631045;5,213962374;CC Le Gesnois Bilurien;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;69,36665446;412,0494144;866
72130;Fay;52;148,5220624;0,071917618;48,00061151;9,445377175;CU Le Mans Métropole;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;32,92948115;330;717
72131;Fercé-sur-Sarthe;52;135,4960102;-0,035644539;47,89732122;12,23430489;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;108,6868904;275;601
72132;La Ferté-Bernard;52;194,6696869;0,634694604;48,18425606;15,46075112;CC du Pays de l'Huisne Sarthoise;La Ferté-Bernard;Sarthe;Pays de la Loire;5970,049885;2956,404797;9199
72133;Fillé;52;145,3910347;0,115227716;47,90237891;10,29919555;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;156,1824417;644,7059097;1512
72134;Flée;52;160,6427932;0,457355393;47,73160273;17,70485926;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;80,09695786;215;546
72135;La Fontaine-Saint-Martin;52;135,1646516;0,047327944;47,7939241;13,70757936;CC du Pays Fléchois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;59,87829025;290,2163062;612
72136;Fontenay-sur-Vègre;52;125,1172587;-0,214830873;47,90743676;11,50610904;CC Loué - Brûlon - Noyen;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;51,91117816;187,4646887;326
72137;Villeneuve-en-Perseigne;52;188,5280013;0,228501225;48,43675736;87,25391778;CU d'Alençon;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;222,8970571;950,8218774;2229
72138;Fresnay-sur-Sarthe;52;169,7850588;0,094438179;48,28619863;28,61583981;CC Haute Sarthe Alpes Mancelles;Fresnay-sur-Sarthe;Sarthe;Pays de la Loire;987,0267668;1036,559387;2935
72139;Fyé;52;171,9404519;0,081600503;48,32320424;16,85353667;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;140,9499206;420;1020
72141;Gesnes-le-Gandelin;52;171,9558607;0,029645701;48,35767107;12,76518526;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;93,05008218;402,0542636;958
72142;Grandchamp;52;176,0816728;0,181392931;48,3069429;5,239617224;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;5,239726027;89,07534247;154
72143;Le Grand-Lucé;52;166,6782236;0,463121597;47,86722032;27,43436007;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;880,1260174;625;1952
72144;Gréez-sur-Roc;52;204,1039491;0,82381344;48,13686374;25,93863878;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;40,29239018;130,795107;331
